# Simulation 1 (Up to date)
# 1094 data points written for 58 variables.
# Simulation warnings:
#   No recovery device defined in the simulation.
#
# 时间 (s),高度 (m),Altitude above sea level (m),垂直速度 (m/s),总速度 (m/s),垂直加速度 (m/s²),总加速度 (m/s²),平行风位置 (m),迎风位置 (m),横向跨距 (m),水平方向 (°),横向速度 (m/s),横向加速度 (m/s²),纬度 (° N),经度 (° E),攻角 (°),滚转角速度 (°/s),俯仰角速度 (°/s),偏航角速度 (°/s),垂直方向 (天顶角) (°),水平方向 (方位角) (°),质量 (g),推进剂质量 (g),纵向转动惯量 (kg·m²),横向转动惯量 (kg·m²),重力加速度 (m/s²),CP 压心位置 (cm),CG 重心位置 (cm),稳定裕量 (​),推力 (N),Thrust-to-weight ratio (​),阻力 (N),阻力系数 (​),摩擦阻力系数 (​),压差阻力系数 (​),基准阻力系数 (​),轴向阻力系数 (​),法向力系数 (​),俯仰力矩系数 (​),偏航力矩系数 (​),侧向力系数 (​),滚转力矩系数 (​),滚转力系数 (​),滚转阻尼系数 (​),俯仰阻尼系数 (​),风速 (m/s),Wind direction (°),空气温度 (°C),空气压力 (mbar),Air density (g/cm³),音速 (m/s),马赫数 (​),雷诺数 (​),参考长度 (cm),参考面积 (cm²),模拟时间步 (s),计算时间 (s),科里奥利加速度 (m/s²)
# Event SIM_WARN occurred at t=0 seconds: No recovery device defined in the simulation.
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
# Event LAUNCHROD occurred at t=0.162 seconds
0.162,1.042,1.042,12.318,12.318,76.021,76.027,-4.381e-4,0,4.381e-4,270,0.003,0.974,28.61,-80.6,9.105,0,0,0,90,0,925.213,190.722,0.295,0.001,9.792,94.898,91.701,0.355,79.767,8.804,0.371,0.525,0.327,0.078,0.12,0.613,1.484,0.527,-4.34e-4,0,0,0,0,0,1.977,90,14.993,1013.128,0.001,340.385,0.037,1.396e6,9,63.617,0.013,0.004,0.002
0.175,1.207,1.207,13.3,13.3,76.814,76.821,-5.594e-4,0,5.594e-4,270,0.016,1.054,28.61,-80.6,8.652,0,0.078,3.92e-5,90,90.028,924.708,190.217,0.295,0.001,9.792,95.101,91.664,0.382,80.513,8.892,0.428,0.525,0.327,0.078,0.12,0.606,1.381,0.527,4.413e-4,0,0,0,0,1.209e-5,2.04,90,14.992,1013.108,0.001,340.384,0.04,1.505e6,9,63.617,0.019,0.004,0.002
0.195,1.477,1.477,14.793,14.793,77.995,78.004,-0.001,0,0.001,270,0.038,1.176,28.61,-80.6,8.064,0,0.217,2.786e-5,89.997,90.014,923.952,189.461,0.295,0.001,9.792,95.38,91.61,0.419,81.631,9.023,0.52,0.525,0.327,0.078,0.12,0.598,1.252,0.525,-2.808e-4,0,0,0,0,7.662e-5,2.134,90,14.99,1013.077,0.001,340.383,0.044,1.671e6,9,63.617,0.029,0.004,0.002
0.223,1.938,1.938,17.074,17.074,79.761,79.77,-0.003,-5.047e-9,0.003,270,0.072,1.205,28.61,-80.6,6.74,0,0.478,9.608e-5,89.987,90.01,922.817,188.326,0.294,0.001,9.792,96.073,91.527,0.505,83.309,9.219,0.668,0.526,0.327,0.078,0.12,0.58,0.98,0.495,1.05e-4,0,0,0,0,2.806e-4,2.094,90,14.987,1013.023,0.001,340.381,0.051,1.923e6,9,63.617,0.015,0.005,0.002
0.238,2.194,2.194,18.238,18.238,80.641,80.649,-0.004,-9.79e-9,0.004,270,0.09,1.195,28.61,-80.6,6.123,0,0.63,3.619e-5,89.979,90.008,922.247,187.756,0.294,0.001,9.792,96.433,91.486,0.55,84.151,9.318,0.75,0.526,0.327,0.078,0.12,0.572,0.862,0.474,-2.154e-4,0,0,0,0,4.277e-4,2.053,90,14.986,1012.993,0.001,340.38,0.054,2.052e6,9,63.617,0.022,0.005,0.002
0.26,2.611,2.611,20,20.001,81.229,81.238,-0.006,-2.163e-8,0.006,270,0.116,1.205,28.61,-80.6,5.446,0,0.881,4.955e-5,89.962,90.006,921.333,186.842,0.293,0.001,9.792,96.858,91.419,0.604,84.747,9.394,0.887,0.526,0.327,0.078,0.12,0.564,0.739,0.446,9.132e-5,0,0,0,0,6.986e-4,2.036,90,14.983,1012.944,0.001,340.379,0.059,2.248e6,9,63.617,0.033,0.005,0.003
0.292,3.307,3.307,22.667,22.667,82.083,82.092,-0.011,-5.259e-8,0.011,270,0.156,1.264,28.61,-80.6,4.804,0,1.324,4.36e-6,89.927,90.003,919.961,185.47,0.293,0.001,9.792,97.294,91.318,0.664,85.641,9.507,1.122,0.526,0.327,0.078,0.121,0.556,0.629,0.416,-2.277e-4,0,0,0,0,0.001,2.09,90,14.979,1012.862,0.001,340.376,0.067,2.545e6,9,63.617,0.049,0.005,0.003
0.341,4.517,4.517,26.718,26.719,83.306,83.315,-0.02,-1.402e-7,0.02,270,0.218,1.264,28.61,-80.6,3.989,0,2.135,-5.214e-4,89.843,89.998,917.903,183.412,0.292,0.001,9.792,97.9,91.167,0.748,86.983,9.677,1.532,0.526,0.327,0.078,0.121,0.548,0.498,0.37,-4.408e-4,0,0,0,0,0.002,2.155,90,14.971,1012.72,0.001,340.371,0.079,2.996e6,9,63.617,0.05,0.005,0.003
0.391,5.957,5.957,30.913,30.914,84.478,84.486,-0.032,-2.435e-7,0.032,270,0.279,1.159,28.61,-80.6,3.331,0,3.133,-5.4e-4,89.712,89.996,915.803,181.312,0.291,0.001,9.792,98.437,91.013,0.825,88.352,9.852,2.025,0.526,0.327,0.078,0.121,0.542,0.399,0.326,2.084e-6,0,0,0,0,0.004,2.235,90,14.961,1012.551,0.001,340.365,0.091,3.464e6,9,63.617,0.047,0.005,0.004
0.438,7.489,7.489,34.873,34.874,85.506,85.509,-0.046,-2.513e-7,0.046,270,0.326,0.816,28.61,-80.6,2.642,0,4.176,-5.176e-4,89.542,89.994,913.846,179.355,0.29,0.001,9.792,99.053,90.868,0.909,89.628,10.016,2.549,0.527,0.327,0.079,0.121,0.537,0.303,0.271,-2.274e-4,0,0,0,0,0.005,2.216,90,14.951,1012.372,0.001,340.359,0.103,3.905e6,9,63.617,0.05,0.005,0.004
0.488,9.339,9.339,39.126,39.128,84.609,84.61,-0.063,-4.66e-8,0.063,270,0.355,0.308,28.61,-80.6,2.013,-4.373e-7,5.32,-4.629e-4,89.304,89.995,911.698,177.206,0.289,0.001,9.792,99.668,90.708,0.996,89.239,9.996,3.184,0.527,0.327,0.079,0.122,0.533,0.221,0.214,-1.059e-4,0,0,0,0,0.007,2.206,90,14.939,1012.155,0.001,340.352,0.115,4.379e6,9,63.617,0.05,0.005,0.005
